Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
42,Colnago Pro SLR85,The Pro SLR85 from Colnago is a gravel bike designed for riders who demand comfort.,Colnago,Gravel Bike,9756.05,USD,11,7782597662984,Yellow,XS,Out of Stock,t4k2q0J7ZDrg
43,Giant Race RX50,The Race RX50 from Giant is a aero bike designed for riders who demand speed.,Giant,Aero Bike,6895.84,USD,22,2967226814779,Silver,S,In Stock,mqgZWf5obQ41
44,Giant Performance Z85,The Performance Z85 from Giant is a cyclocross bike designed for riders who demand lightweight performance.,Giant,Cyclocross Bike,10140.1,GBP,12,2819495631895,Yellow,S,Pre-Order,P5pQiDjqqsan
45,Colnago Speed SLR87,The Speed SLR87 from Colnago is a road bike designed for riders who demand lightweight performance.,Colnago,Road Bike,3588.1,GBP,14,8295089647316,Blue,XL,Out of Stock,zEv6z6WUISiQ
46,Cervélo Performance RS60,The Performance RS60 from Cervélo is a endurance bike designed for riders who demand comfort.,Cervélo,Endurance Bike,10608.89,GBP,19,8256013205933,Green,M,Out of Stock,ty5zBnbenR2Z
47,Colnago Speed RX60,The Speed RX60 from Colnago is a gravel bike designed for riders who demand speed.,Colnago,Gravel Bike,4430.54,EUR,23,9035982741755,Yellow,XL,In Stock,d3G4My25txvM
48,Specialized Ultra X68,The Ultra X68 from Specialized is a cyclocross bike designed for riders who demand speed.,Specialized,Cyclocross Bike,3565.32,EUR,49,0679447420859,Blue,M,Pre-Order,IMnW4yFJVW2t
49,Scott Aero Z55,The Aero Z55 from Scott is a gravel bike designed for riders who demand speed.,Scott,Gravel Bike,3011.48,USD,22,2190447324463,White,S,Pre-Order,vygfCaq9LH9o
50,Trek Aero SL31,The Aero SL31 from Trek is a road bike designed for riders who demand versatility.,Trek,Road Bike,2650.49,USD,38,1293195267727,Silver,ML,In Stock,CW2TbK6w1n5M
51,Specialized Race Z32,The Race Z32 from Specialized is a time trial bike designed for riders who demand speed.,Specialized,Time Trial Bike,10588.6,GBP,29,4518601152870,White,XL,Pre-Order,YvqryZxDx1Zj
52,Pinarello Carbon RS40,The Carbon RS40 from Pinarello is a gravel bike designed for riders who demand speed.,Pinarello,Gravel Bike,3848.78,USD,43,1960423101862,Red,M,In Stock,rNSKvCeDLWzO
53,Scott Ultra X12,The Ultra X12 from Scott is a road bike designed for riders who demand speed.,Scott,Road Bike,4699.62,USD,47,9692255619247,Silver,L,Pre-Order,PwMbBqygYNQk
54,Trek Ultra RX88,The Ultra RX88 from Trek is a gravel bike designed for riders who demand comfort.,Trek,Gravel Bike,3058.53,EUR,37,3129804849150,Orange,S,In Stock,kaIpQXB0vTzg
55,Pinarello Ultra X17,The Ultra X17 from Pinarello is a aero bike designed for riders who demand versatility.,Pinarello,Aero Bike,5424.79,GBP,0,5335687395774,Black,L,Pre-Order,GtbKFuMkbhTY
56,Specialized Speed Z50,The Speed Z50 from Specialized is a road bike designed for riders who demand versatility.,Specialized,Road Bike,6499.64,USD,31,6385160083732,Orange,L,In Stock,ocn54K6B3BZk
57,Cervélo Aero SLR47,The Aero SLR47 from Cervélo is a endurance bike designed for riders who demand lightweight performance.,Cervélo,Endurance Bike,10421.63,GBP,19,3941591555195,Green,XXL,Pre-Order,9JZVeJR56PLT
58,BMC Pro SL60,The Pro SL60 from BMC is a aero bike designed for riders who demand versatility.,BMC,Aero Bike,4300.43,EUR,21,9045695923220,Green,XXL,Pre-Order,7G2VN5GTuhEk
59,Cannondale Speed Z90,The Speed Z90 from Cannondale is a gravel bike designed for riders who demand comfort.,Cannondale,Gravel Bike,8445.07,EUR,42,6384423191155,Green,ML,Pre-Order,CzSwR4dgTJ17
60,Giant Speed SLR18,The Speed SLR18 from Giant is a time trial bike designed for riders who demand versatility.,Giant,Time Trial Bike,11960.15,EUR,44,2908723116603,Carbon,M,Out of Stock,KAA22s4gt8go
61,Giant Endurance X53,The Endurance X53 from Giant is a aero bike designed for riders who demand lightweight performance.,Giant,Aero Bike,4710.75,USD,24,3752856724271,Carbon,M,Pre-Order,OpizGPyaDKOQ
62,Trek Race X92,The Race X92 from Trek is a endurance bike designed for riders who demand comfort.,Trek,Endurance Bike,2484.06,EUR,6,6584155119903,Blue,L,Out of Stock,dYtWtLVqzlgN
63,Pinarello Performance RX51,The Performance RX51 from Pinarello is a endurance bike designed for riders who demand lightweight performance.,Pinarello,Endurance Bike,10798.93,USD,33,5806767447603,Green,XL,Pre-Order,BBUZnXLjTcRX
64,Cervélo Elite Z73,The Elite Z73 from Cervélo is a aero bike designed for riders who demand comfort.,Cervélo,Aero Bike,11290.92,GBP,35,7850890713691,White,S,In Stock,bA5MgT8HlE3G
65,Giant Performance RX2,The Performance RX2 from Giant is a gravel bike designed for riders who demand lightweight performance.,Giant,Gravel Bike,4361.35,EUR,48,2400234706943,White,S,Pre-Order,RHfHV8wuqFcg
66,Giant Carbon X42,The Carbon X42 from Giant is a gravel bike designed for riders who demand versatility.,Giant,Gravel Bike,7232.53,EUR,5,5017981051951,Carbon,ML,Out of Stock,TfE4e6MqBeCi
67,Cannondale Race RS90,The Race RS90 from Cannondale is a gravel bike designed for riders who demand comfort.,Cannondale,Gravel Bike,8392.35,USD,37,5639926336058,Yellow,ML,In Stock,TdPptdIV5mMc
68,Cervélo Endurance X14,The Endurance X14 from Cervélo is a aero bike designed for riders who demand comfort.,Cervélo,Aero Bike,10181.33,GBP,18,8306663275218,Yellow,S,Pre-Order,2HdNVb8O9q1R
69,Cervélo Speed RX57,The Speed RX57 from Cervélo is a road bike designed for riders who demand speed.,Cervélo,Road Bike,5093.09,EUR,27,8211750156799,Yellow,L,Pre-Order,maiNqc6eEHLw
70,Giant Race RS33,The Race RS33 from Giant is a aero bike designed for riders who demand lightweight performance.,Giant,Aero Bike,3992.82,GBP,20,9378015199768,Yellow,XXL,Out of Stock,7T0lT6ynMz7f
71,Scott Lightweight Z11,The Lightweight Z11 from Scott is a endurance bike designed for riders who demand versatility.,Scott,Endurance Bike,11620.63,EUR,38,6690464978941,Silver,M,In Stock,5bPDe7fCmdl7
72,Merida Performance SL30,The Performance SL30 from Merida is a road bike designed for riders who demand speed.,Merida,Road Bike,9662.17,USD,21,2536607322441,Black,XL,Pre-Order,q51FuWWgY7sH
73,Scott Race SLR87,The Race SLR87 from Scott is a gravel bike designed for riders who demand comfort.,Scott,Gravel Bike,8159.82,GBP,47,1671811586133,White,S,In Stock,SCTBFYd7Fia4
74,Giant Lightweight X9,The Lightweight X9 from Giant is a time trial bike designed for riders who demand speed.,Giant,Time Trial Bike,9230.51,EUR,36,6612686155764,Red,ML,Pre-Order,SHMZSCUZrU86
75,Colnago Ultra X1,The Ultra X1 from Colnago is a gravel bike designed for riders who demand lightweight performance.,Colnago,Gravel Bike,2838.96,GBP,4,8116067193672,Blue,XS,Pre-Order,ONVq6zD6VR2c
76,Specialized Race RS47,The Race RS47 from Specialized is a cyclocross bike designed for riders who demand aerodynamics.,Specialized,Cyclocross Bike,2436.8,USD,6,6465193580610,White,XS,Out of Stock,BFGUAcB4pPyM
77,BMC Endurance Z93,The Endurance Z93 from BMC is a road bike designed for riders who demand aerodynamics.,BMC,Road Bike,2794.27,EUR,36,7136965994003,Silver,L,In Stock,wxhTDpzvs6ba
78,BMC Carbon Z78,The Carbon Z78 from BMC is a cyclocross bike designed for riders who demand versatility.,BMC,Cyclocross Bike,6219.67,GBP,9,0153073953407,Yellow,XS,Out of Stock,k9N49Mzxj04l
79,Colnago Aero SLR13,The Aero SLR13 from Colnago is a road bike designed for riders who demand speed.,Colnago,Road Bike,5779.8,GBP,3,6842939540963,Red,L,Out of Stock,vrlj3CMJH11B
80,Giant Ultra RX19,The Ultra RX19 from Giant is a time trial bike designed for riders who demand lightweight performance.,Giant,Time Trial Bike,9319.22,USD,34,4684036114062,Red,XL,Pre-Order,rNVlL6Y2iYOD
81,Merida Pro SLR23,The Pro SLR23 from Merida is a endurance bike designed for riders who demand aerodynamics.,Merida,Endurance Bike,5544.62,USD,10,4326665107814,Yellow,ML,Pre-Order,nUW4HPwt3dR6
82,BMC Pro RS59,The Pro RS59 from BMC is a aero bike designed for riders who demand lightweight performance.,BMC,Aero Bike,10462.31,USD,41,0518724076874,Red,S,Out of Stock,bJu4T0Up03rX
83,Colnago Pro SL94,The Pro SL94 from Colnago is a endurance bike designed for riders who demand versatility.,Colnago,Endurance Bike,5713.2,GBP,45,2280017401931,Red,L,Pre-Order,VcRi3pr3QHsw
84,BMC Pro RS43,The Pro RS43 from BMC is a cyclocross bike designed for riders who demand versatility.,BMC,Cyclocross Bike,8730.93,USD,47,7826932756968,Orange,S,Pre-Order,J0MEQzDMDvc4
85,Merida Endurance SL64,The Endurance SL64 from Merida is a road bike designed for riders who demand versatility.,Merida,Road Bike,3854.13,USD,5,3419735829226,Orange,XXL,Out of Stock,AeJ1j4yoZM6W
86,Cannondale Endurance SLR98,The Endurance SLR98 from Cannondale is a endurance bike designed for riders who demand versatility.,Cannondale,Endurance Bike,5856.9,EUR,31,6835112350542,Blue,M,Pre-Order,SW1ozsG452w4
87,Trek Speed RS52,The Speed RS52 from Trek is a road bike designed for riders who demand comfort.,Trek,Road Bike,3562.92,USD,28,9426268881811,Yellow,ML,Out of Stock,hf4W5uUTrso3
88,Merida Lightweight SLR94,The Lightweight SLR94 from Merida is a road bike designed for riders who demand lightweight performance.,Merida,Road Bike,9719.38,GBP,44,1728698527263,Red,XXL,Out of Stock,WUBT0WMaSk2i
89,Scott Aero SL85,The Aero SL85 from Scott is a aero bike designed for riders who demand versatility.,Scott,Aero Bike,6091.61,EUR,41,8804949448563,Orange,ML,Out of Stock,9JJuK5xefi1f
90,Giant Carbon RS90,The Carbon RS90 from Giant is a road bike designed for riders who demand versatility.,Giant,Road Bike,2497.48,USD,13,6051853339526,Yellow,S,Out of Stock,wrPENK8qaSEf
91,Giant Speed Z18,The Speed Z18 from Giant is a aero bike designed for riders who demand comfort.,Giant,Aero Bike,3712.51,GBP,47,5940100241542,Green,ML,In Stock,tgKrHtvQ6VRI
92,Cervélo Aero RS28,The Aero RS28 from Cervélo is a endurance bike designed for riders who demand versatility.,Cervélo,Endurance Bike,5045.94,EUR,21,0008987470765,Green,XS,Pre-Order,rK4T2CipwqBS
93,Giant Race Z19,The Race Z19 from Giant is a aero bike designed for riders who demand speed.,Giant,Aero Bike,3197.79,USD,18,1960471067165,Blue,XL,In Stock,tqutChnIgZ4v
94,Merida Ultra SLR17,The Ultra SLR17 from Merida is a road bike designed for riders who demand aerodynamics.,Merida,Road Bike,10477.13,GBP,28,0557662221391,Silver,XXL,Out of Stock,MZkgkkO38dQD
95,Scott Performance Z42,The Performance Z42 from Scott is a cyclocross bike designed for riders who demand versatility.,Scott,Cyclocross Bike,11380.45,GBP,5,5641518483922,Silver,XS,Out of Stock,X44fCqpBCpAZ
96,Scott Lightweight SL2,The Lightweight SL2 from Scott is a cyclocross bike designed for riders who demand comfort.,Scott,Cyclocross Bike,8505.86,USD,22,8584765593368,Green,XS,Pre-Order,0uIp6QaLgLdi
97,Pinarello Pro Z70,The Pro Z70 from Pinarello is a aero bike designed for riders who demand versatility.,Pinarello,Aero Bike,7268.34,GBP,7,5637241636118,Yellow,S,Pre-Order,FvOTy77cJW7t
98,Pinarello Carbon RX4,The Carbon RX4 from Pinarello is a cyclocross bike designed for riders who demand comfort.,Pinarello,Cyclocross Bike,11972.8,GBP,29,5991901342104,Black,XL,In Stock,T8UP9dzrVlpm
99,Specialized Pro Z87,The Pro Z87 from Specialized is a gravel bike designed for riders who demand speed.,Specialized,Gravel Bike,11652.17,EUR,24,6485838972724,Orange,L,Out of Stock,SWOqAW0i9IqH
100,Colnago Aero SLR51,The Aero SLR51 from Colnago is a time trial bike designed for riders who demand lightweight performance.,Colnago,Time Trial Bike,5024.26,GBP,25,7315439986624,Blue,M,Out of Stock,qRt1z3u0PQ6d
101,Giant Race SLR10,The Race SLR10 from Giant is a endurance bike designed for riders who demand versatility.,Giant,Endurance Bike,9597.17,EUR,13,9143530098754,Black,L,In Stock,TCJJvyPnsC0a
102,Pinarello Pro SL53,The Pro SL53 from Pinarello is a cyclocross bike designed for riders who demand versatility.,Pinarello,Cyclocross Bike,10412.22,GBP,6,2648565299220,Orange,L,In Stock,AbQTQiYMryO3
103,Trek Performance SL10,The Performance SL10 from Trek is a cyclocross bike designed for riders who demand speed.,Trek,Cyclocross Bike,11497.61,EUR,40,0490674685168,Orange,L,Out of Stock,TpUfbHyTBsc8
104,Merida Pro RX86,The Pro RX86 from Merida is a endurance bike designed for riders who demand speed.,Merida,Endurance Bike,9897.81,EUR,8,3200248997677,Silver,XL,Pre-Order,uN1liZt1uaeH
105,Trek Ultra X80,The Ultra X80 from Trek is a endurance bike designed for riders who demand comfort.,Trek,Endurance Bike,7169.64,EUR,30,7923576309571,Carbon,S,In Stock,TfvUgB06KSeZ
106,Cervélo Ultra SL33,The Ultra SL33 from Cervélo is a time trial bike designed for riders who demand aerodynamics.,Cervélo,Time Trial Bike,11960.8,USD,15,7006905068680,Yellow,XL,Out of Stock,G5hWgsiejJX0
107,BMC Elite RX35,The Elite RX35 from BMC is a endurance bike designed for riders who demand speed.,BMC,Endurance Bike,7172.07,GBP,23,4118809630826,Blue,M,Out of Stock,qeqeoKqlZU1O
108,Cannondale Ultra RX10,The Ultra RX10 from Cannondale is a road bike designed for riders who demand aerodynamics.,Cannondale,Road Bike,4406.96,EUR,44,1020595429946,Black,L,Out of Stock,VNIy56tXloFS
109,Cannondale Elite Z28,The Elite Z28 from Cannondale is a road bike designed for riders who demand versatility.,Cannondale,Road Bike,3192.44,GBP,13,1703667936444,Orange,XL,In Stock,c9t881TUkNF8
110,Pinarello Elite RX99,The Elite RX99 from Pinarello is a endurance bike designed for riders who demand aerodynamics.,Pinarello,Endurance Bike,6228.09,GBP,21,8983076237641,Black,L,In Stock,6N4My0MPmA0I
111,Merida Pro RX43,The Pro RX43 from Merida is a gravel bike designed for riders who demand speed.,Merida,Gravel Bike,4818.07,EUR,12,6688196125019,Red,L,In Stock,OCSmXzA0F8DN
112,Trek Aero RX74,The Aero RX74 from Trek is a cyclocross bike designed for riders who demand versatility.,Trek,Cyclocross Bike,5007.65,EUR,47,0623033835012,Carbon,XL,In Stock,z1bedtA4SYZN
113,Pinarello Elite Z79,The Elite Z79 from Pinarello is a endurance bike designed for riders who demand aerodynamics.,Pinarello,Endurance Bike,5502.19,GBP,6,3122272144828,White,L,Out of Stock,7oNIWMorozuv
114,Cannondale Elite Z55,The Elite Z55 from Cannondale is a road bike designed for riders who demand speed.,Cannondale,Road Bike,3263.94,EUR,34,9596361780315,Blue,L,Pre-Order,xTTn9PWsKGY6
115,Merida Carbon Z6,The Carbon Z6 from Merida is a road bike designed for riders who demand versatility.,Merida,Road Bike,6978.4,EUR,28,0553945530350,Blue,M,Out of Stock,KzEc8GiWX0yR
116,Colnago Ultra X3,The Ultra X3 from Colnago is a road bike designed for riders who demand lightweight performance.,Colnago,Road Bike,7922.02,EUR,10,4394015404091,White,ML,Out of Stock,IQEYhEVFQSS1
117,Scott Pro SLR1,The Pro SLR1 from Scott is a road bike designed for riders who demand versatility.,Scott,Road Bike,11351.93,USD,8,9814421444149,Orange,L,In Stock,eki8zSRFkmuZ
118,Specialized Endurance RX65,The Endurance RX65 from Specialized is a time trial bike designed for riders who demand aerodynamics.,Specialized,Time Trial Bike,5248.86,USD,12,9674082654816,White,ML,Out of Stock,XnoYppCuC13d
119,Pinarello Elite SL53,The Elite SL53 from Pinarello is a cyclocross bike designed for riders who demand speed.,Pinarello,Cyclocross Bike,7197.25,USD,14,2331904402675,Yellow,L,Out of Stock,jJsbtaiubRq6
120,Cervélo Elite SLR66,The Elite SLR66 from Cervélo is a time trial bike designed for riders who demand versatility.,Cervélo,Time Trial Bike,3257.22,USD,9,5247009753793,Orange,XS,Out of Stock,E61SRUzZAHDq
121,Giant Elite RS97,The Elite RS97 from Giant is a gravel bike designed for riders who demand comfort.,Giant,Gravel Bike,6108.94,EUR,29,6704175484350,Orange,ML,Pre-Order,MCpIbcyVGiNG
122,Cannondale Endurance Z47,The Endurance Z47 from Cannondale is a gravel bike designed for riders who demand speed.,Cannondale,Gravel Bike,6477.95,EUR,15,3299249928752,Carbon,L,Out of Stock,6KFe3Guqn0Jt
123,BMC Elite X85,The Elite X85 from BMC is a road bike designed for riders who demand aerodynamics.,BMC,Road Bike,2784.83,EUR,21,3172784116296,Silver,XXL,Pre-Order,Zsp2qx0NOjYX
124,BMC Ultra RX65,The Ultra RX65 from BMC is a cyclocross bike designed for riders who demand versatility.,BMC,Cyclocross Bike,3506.3,USD,3,6571226830764,Red,S,Pre-Order,I53spE7LpOs9
125,Specialized Carbon X74,The Carbon X74 from Specialized is a cyclocross bike designed for riders who demand lightweight performance.,Specialized,Cyclocross Bike,4947.19,EUR,20,6335881118987,Orange,S,Out of Stock,yECHSAQZtkP6
126,Cervélo Pro Z12,The Pro Z12 from Cervélo is a endurance bike designed for riders who demand aerodynamics.,Cervélo,Endurance Bike,2022.26,GBP,30,8484834436665,Orange,S,Out of Stock,fjGB0QhRD12I
127,BMC Performance SLR57,The Performance SLR57 from BMC is a gravel bike designed for riders who demand comfort.,BMC,Gravel Bike,9336.6,USD,39,0705879715255,Silver,ML,Pre-Order,Pnzkc9rTGnYf
128,Specialized Carbon RX82,The Carbon RX82 from Specialized is a cyclocross bike designed for riders who demand speed.,Specialized,Cyclocross Bike,2895.19,GBP,41,9809892709020,Yellow,XXL,In Stock,a1Mu4afakogD
129,Cervélo Endurance X43,The Endurance X43 from Cervélo is a road bike designed for riders who demand aerodynamics.,Cervélo,Road Bike,9210.17,USD,38,5309552010895,Orange,S,Pre-Order,N2jls2ns4NS9
130,Giant Speed RS26,The Speed RS26 from Giant is a time trial bike designed for riders who demand versatility.,Giant,Time Trial Bike,3894.78,EUR,50,8114769732988,Red,L,In Stock,twDoLHOJLHj7
131,Trek Speed Z19,The Speed Z19 from Trek is a aero bike designed for riders who demand aerodynamics.,Trek,Aero Bike,3073.51,GBP,35,6888263184125,Yellow,S,Out of Stock,0GPu2u5EAqOD
132,Scott Lightweight X29,The Lightweight X29 from Scott is a road bike designed for riders who demand aerodynamics.,Scott,Road Bike,9245.58,GBP,44,8280210663455,Red,L,Out of Stock,eZBiWT7UglKM
133,Colnago Ultra SL33,The Ultra SL33 from Colnago is a gravel bike designed for riders who demand aerodynamics.,Colnago,Gravel Bike,3067.99,GBP,7,9057519404867,Green,ML,In Stock,CGHXIxDeiz0q
134,BMC Aero RX72,The Aero RX72 from BMC is a time trial bike designed for riders who demand speed.,BMC,Time Trial Bike,11751.39,USD,18,2485856951733,Silver,M,Out of Stock,rkQTVZ7KjmYF
135,Cannondale Race SL66,The Race SL66 from Cannondale is a cyclocross bike designed for riders who demand aerodynamics.,Cannondale,Cyclocross Bike,9057.18,GBP,33,7983009790692,Green,S,In Stock,BzCEkbt5qsVP
136,Scott Speed SLR20,The Speed SLR20 from Scott is a cyclocross bike designed for riders who demand comfort.,Scott,Cyclocross Bike,9517.78,EUR,41,9443326157067,Orange,XL,In Stock,bMJwt8YuURHF
137,Cervélo Race X7,The Race X7 from Cervélo is a aero bike designed for riders who demand comfort.,Cervélo,Aero Bike,3776.48,EUR,24,3519756464895,Black,ML,In Stock,7JpkzZeaiALz
